name,ofname,countryofreg,countryofown,owner,users,purpose,detpurpose,clasorbit,typeorbit,longitudegeo,perigee,apogee,eccentricity,inclination,period,launchmass,drymass,power,datelaunch,explifetime,contractor,countrycontractor,launchsite,launchvehicle
Lemur-2 Baxter Oliver ,Lemur ,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,414,418,2.95E-04,52,92.9,4,,,11/5/20,,Spire Global,USA,International Space Station,Nanorack Deployer
Lemur-2 Beaudacious (Lemur 2FM98),Lemur 2FM98,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,493,510,1.24E-03,97.5,96.5,4,,,4/1/19,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 BrianDavie (Lemur 2F52),Lemur 2F52,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,449,454,3.66E-04,51.6,93.6,4,,,12/8/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 BrownCow (Lemur 2F71),Lemur 2F71,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,493,504,8.01E-04,97.5,94.5,4,,,1/11/18,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Chanusiak (Lemur 2F83),Lemur 2F83,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,0,495,515,1.45E-03,85,94.7,4,,,11/10/18,,Spire Global,USA,Rocket Lab Launch Complex 1,Electron
Lemur-2 ChristinaHolt (Lemur 2F90) ,Lemur 2F90,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,570,585,1.08E-03,97.7,96.2,4,,,12/27/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
Lemur-2 DaisyHarper (Lemur 2F95),Lemur 2F95,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,569,587,1.30E-03,97.7,96.2,4,,,12/27/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
Lemur-2 DaveWilson (Lemur 2F69),Lemur2F69,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,495,502,5.10E-04,97.5,94.5,4,,,1/11/18,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 DayWzaGoodDay (2FM123),Lemur FM123,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,554,568,1.01E-03,97.7,94.5,4,,,9/28/20,,Spire Global,USA,Plesetsk Cosmodrome,Soyuz 2.1b
Lemur-2 Dembitz (Lemur 2F49),Lemur 2F49,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,586,596,7.18E-04,97.6,96.5,4,,,7/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2 Djuproera (Lemur 2FM116),Lemur FM116,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,534,538,2.90E-04,97.5,94.5,4,,,9/2/20,,Spire Global,USA,Guiana Space Center,Vega
Lemur-2 Duly (Lemur 2F87),Lemur 2F87,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,479,506,1.97E-03,97.5,94.3,4,,,11/29/18,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Dunlop (Lemur 2F57),Lemur 2F57,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,451,452,7.33E-05,51.6,93.6,4,,,12/10/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 DustInTheWind (Lemur 2FM105) ,Lemur 2FM105,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,515,546,2.25E-03,97.5,95.2,4,,,7/5/19,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b
Lemur-2 Ejatta (Lemur 2FM104),Lemur2FM104,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,515,546,2.25E-03,97.5,95.2,4,,,7/5/19,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b
Lemur-2 Elham (Lemur 2FM99),Lemur 2FM99,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,493,510,1.24E-03,97.5,94.6,4,,,4/1/19,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 EthanOakes (Lemur 2FM114),Lemur FM114,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,534,538,2.90E-04,97.5,94.5,4,,,9/2/20,,Spire Global,USA,Guiana Space Center,Vega
Lemur-2 Furiaus (Lemur 2F45),Lemur 2F45,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,584,601,1.22E-03,97.6,96.5,4,,,7/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2 Greenberg (Lemur 2F42),Lemur 2F42,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,585,602,1.22E-03,97.6,96.5,4,,,7/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2 GregRobinson (Lemur 2FM108),Lemur 2FM108,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,515,543,2.03E-03,97.5,95.2,4,,,7/5/19,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b
Lemur-2 Gustavo (Lemur 2F89),Lemur 2F89,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,570,585,1.08E-03,97.7,96.2,4,,,12/27/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
Lemur-2 HiMomAndDad (Lemur 2FM109),Lemur 2FM109,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,566,576,7.20E-04,36.9,96.1,4,,,12/11/19,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 JennnyBarna (Lemur 2F30),Lemur 2F30,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,476,490,1.02E-03,51.64,94.2,4,,,4/18/17,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer
Lemur-2 Jeremiah (Lemur 2F129),Lemur 2F129,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,565,577,8.64E-04,36.9,94.2,4,,,11/7/20,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Jindra (Lemur 2F127),Lemur 2F127,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,564,576,8.65E-04,36.9,94.2,4,,,11/7/20,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Jin-Luen (Lemur 2F76),Lemur2F76,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,571,589,1.29E-03,97.3,96.2,4,,,1/31/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
Lemur-2 Jobanputra (Lemur 2-F22),Lemur 2F22,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,4,,,2/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL
Lemur-2 JohanLoran (Lemur FM97),Lemur 2FM97,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,493,510,1.24E-03,97.5,94.6,4,,,4/1/19,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 JPSquared (Lemur 2FMf110),Lemur 2FM110,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,568,579,7.92E-04,36.9,96.1,4,,,12/11/19,,Spire Global,USA,Satish Dhawan Space Centre,PSLV
Lemur-2 Kadi (Lemur 2F74),Lemur2F74,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,571,588,1.22E-03,97.3,96.2,4,,,1/31/18,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a
