name,ofname,countryofreg,countryofown,owner,users,purpose,detpurpose,clasorbit,typeorbit,longitudegeo,perigee,apogee,eccentricity,inclination,period,launchmass,drymass,power,datelaunch,explifetime,contractor,countrycontractor,launchsite,launchvehicle
1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT,NR (12/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0,566,576,7.20E-04,36.9,96.08,22,,,12/11/19,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV
3Cat-1,3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0,476,500,1.75E-03,97.4,95,4,,,11/29/18,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV
Aalto-1 ,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,,LEO,,0,497,517,1.45E-03,97.45,94.7,5,,4.5,6/23/17,2,Aalto University,Finland,Satish Dhawan Space Centre,PSLV
AAUSat-4,AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,1.77E-02,98.2,95.9,1,,,4/25/16,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a
"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",,"16,000",2/6/14,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75,"35,700","35,700",0.00E+00,0,1436.1,"1,800",,,6/15/16,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
ABS-3A ,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3,"35,788","35,803",1.78E-04,0.1,1436,"2,000",,,3/2/15,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143","1,700","7,400",3/13/04,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894","1,730","6,800 (EOL)",9/26/99,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
"ABS-7 (Koreasat 3, Mugungwha 3)",ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",9/4/99,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA 311,NR (12/20),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,,"35,700","35,800",1.19E-03,0,1437.6,"5,400",,,12/11/20,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26,"35,560","36,013",5.37E-03,7.72,1436.14,"5,200",,,5/9/98,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,68,"35,589","35,984",4.68E-03,3.2,1436.1,"5,200",,,9/9/03,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44,"35,714","35,937",2.64E-03,2.89,1438.8,"5,400",,,1/18/09,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95,"35,500","35,500",0.00E+00,0,1436,"5,000",,,11/21/10,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60,"35,771","35,805",4.03E-04,0,1436.1,"5,000",,,6/29/12,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,"35,613","35,903",3.44E-03,7.51,1437.19,"5,000",,,6/11/16,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA 235,USA,USA,US Air Force,Military,Communications,,GEO,,-120,"35,772","35,801",3.44E-04,2.34,1436.1,"6,169",,,5/3/12,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA 246,NR,USA,US Air Force,Military,Communications,,GEO,,152.1,"35,700","35,803",1.22E-03,4.2,1436.1,"6,169",,,9/18/13,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA 288,USA,USA,US Air Force,Military,Communications,,GEO,,150.2,"35,781","35,790",1.07E-04,0.05,1436.1,"6,169",,,10/17/18,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA 292,USA,USA,US Air Force,Military,Communications,,GEO,,-94.39,"35,780","35,810",3.56E-04,6.4,1436.2,"6,169",,,8/8/19,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA 298,USA,USA,US Air Force ,Military,Communications,,GEO,,0,"35,780","35,780",0.00E+00,0,1436,"6,169",,,3/26/20,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
Aeneas,Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0,480,790,2.21E-02,0.02,97.4,3,,,9/13/12,,University of Southern California,USA,Vandenberg AFB,Atlas 5
Aeolus,Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Earth Science,LEO,,0,314,317,2.24E-04,96.7,92.4,"1,367",,,8/22/18,3,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega
Aerocube 10A (Jimsat),Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,469,481,8.77E-04,51.6,94.15,2,,,8/9/19,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
Aerocube 10B (Dougsat),Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,471,483,8.76E-04,51.6,94.15,2,,,8/9/19,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
Aerocube 11A (TOMSat Eagle Scout),Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,495,511,1.16E-03,85.03,94.6,4,,,12/17/18,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
Aerocube 11B (TOMSat R3),Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,492,511,1.38E-03,85.3,94.6,4,,,12/17/18,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
Aerocube 12A,Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,481,487,4.38E-04,51.6,94.2,4,,,7/16/18,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
Aerocube 12B,Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,481,487,4.38E-04,51.6,94.2,4,,,7/16/18,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
Aerocube 14A,Aerocube 14A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0,459,474,1.10E-03,51.6,93.9,,,,1/31/20,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
Aerocube 14B,Aerocube 14B,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0,459,474,1.10E-03,51.6,93.9,,,,1/31/20,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
Aerocube 15A,Aerocube 15A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0,458,474,1.17E-03,51.6,93.9,,,,1/31/20,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
Aerocube 5C,Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.78,97.74,2,,,10/8/15,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 6A,Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,,,6/19/14,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
Aerocube 6B,Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,,,6/19/14,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr
Aerocube 7A,Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.6,97.4,2,,,10/8/15,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 7B,Aerocube 7B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,432,437,3.67E-04,53.6,93.2,2,,,11/12/17,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230
Aerocube 7C,Aerocube 7C,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,432,437,3.67E-04,53.6,93.2,2,,,11/12/17,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230
Aerocube 8A,Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,5/20/15,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
Aerocube 8B,Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,5/20/15,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5
Aerocube 8C,Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,569,584,1.08E-03,97.9,96.2,5,,,11/11/16,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
Aerocube 8D,Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,572,584,8.64E-04,98,96.23,2,,,11/11/16,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,48,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460","1,555","7,000",12/20/08,15,EADS Astrium,France,Guiana Space Center,Ariane 5
AIM (Aeronomy of Ice in Mesosphere),AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,5.78E-04,97.9,96.2,215,197,216,4/25/07,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL
AISat-1,AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,1.21E-03,98.25,97.76,14,,,6/30/14,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA
AISSat-1 (Automatic Identification System Satellite-1),AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,1.22E-03,98,97.2,6,,,7/12/10,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV
AISSat-2 (Automatic Identification System Satellite-2),AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,4.29E-04,98.4,97.27,6,,,7/8/14,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b
AIST-1,AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Polar,0,599,626,1.93E-03,82.4,96.9,,,,12/28/13,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v"
AIST-2,AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Non-Polar Inclined,0,558,582,1.73E-03,64.88,96.06,53,,,4/19/13,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a
AIST-2D,AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Sun-Synchronous,0,471,486,1.10E-03,97.28,94.18,531,,,4/27/16,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a
AISTechSat-2,AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,574,592,1.29E-03,97.8,96.4,3,,,12/3/18,,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9
AISTechSat-3,AISTechSat-3,Spain,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,490,506,1.16E-03,97.5,94.6,2,,,4/1/19,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV
Al Yah-3,Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,GEO,,-20,"35,777","35,796",2.25E-04,0,1436,"3,795",,,1/25/18,15,Orbital ATK,USA,Guiana Space Center,Ariane 5
Alcomsat (Algerian Communications Satellite),Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,,GEO,,-24.8,"35,744","35,798",6.41E-04,0.04,1436.1,"5,225",,,12/10/17,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
ALE-2 (Astro Live Experiences-2),ALE-2,NR (12/20),Japan,Astro Live Experiences,Commercial,Earth Science,,LEO,Sun-Synchronous,0,397,414,1.25E-03,97.01,92.06,75,,,12/6/19,,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron
Al-Farabi-2,Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0,573,589,1.15E-03,97.7,96.2,4,,,12/3/18,,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9
ALiCE  (AFIT LEO iMESA CNT E),ALiCE,NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,12/6/13,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5
Alsat 2B,Alsat-2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,646,660,9.97E-04,98.2,97.7,117,,,9/26/16,5,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
Alsat-1B,Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,704,3.05E-03,98.2,98.4,103,,,9/26/16,5,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
AlSat-1N,AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0,661,698,2.62E-03,98.2,98.3,10,,,9/26/16,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
Alsat-2A (Algeria Satellite 2A),Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.1,98.2,130,,,7/12/10,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
Amazonas-2,Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,"35,767","35,805",4.51E-04,0.03,1436.08,"5,465",,"15,300",10/1/09,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
Amazonas-3,Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,"35,781","35,791",1.19E-04,0.03,1436.05,"6,265","2,778","14,000",2/7/13,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
Amazonas-4A,Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,"35,784","35,795",1.30E-04,0.08,1436.24,"2,938",,,3/22/14,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
Amazonas-5,Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,"35,785","35,789",4.74E-05,0.04,1436.11,"5,900",,,9/12/17,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
"AMC-1 (Americom 1, GE-1)",AMC-1,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-129.15,"35,772","35,800",3.32E-04,0.03,1436.1,"2,783","1,600","6,500 (EOL)",9/8/96,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A
"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-130.93,"35,774","35,797",2.73E-04,0.04,1436.07,"2,340","2,316","6,500 (EOL)",5/19/04,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS
AMC-15 (Americom-15),AMC-15,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-105.04,"35,777","35,795",2.13E-04,0.04,1436.08,"4,200",,,10/14/04,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M
AMC-16 (Americom-16),AMC-16,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-84.98,"35,780","35,793",1.54E-04,0.02,1436.1,"4,312",,,12/17/04,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5
AMC-18 (Americom 18),AMC-18,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-104.97,"35,773","35,800",3.20E-04,0.06,1436.1,"2,081",918,,12/8/06,15,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5
"AMC-2 (Americom 2, GE-2)",AMC-2,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-100.98,"35,774","35,798",2.85E-04,0.05,1436.1,"2,648","1,600","6,500 (EOL)",1/30/97,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L
AMC-21 (Americom 21),AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,,GEO,,-124.86,"35,778","35,793",1.78E-04,3,1436.1,"2,500",,"5,000",8/14/08,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
"AMC-4 (Americom-4, GE-4)",AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communications,,GEO,,-100.99,"35,781","35,791",1.19E-04,0.01,1436.1,"3,909","2,500",,11/13/99,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP
"AMC-6 (Americom-6, GE-6)",AMC-6,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-71.98,"35,778","35,795",2.02E-04,0.05,1436.12,"3,901","2,500",,10/22/00,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K
"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-139,"35,773","35,798",2.97E-04,0.03,1436.07,"2,015",919,"3,300",12/19/00,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G
AmGU-1 (AmurSat-1),AmGU-1,Russia,Russia,Moscow State University,Civil,Space Science,,LEO,Sun-Synchronous,0,514,547,2.39E-03,97.5,95.2,4,,,7/5/19,,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b
Amos 17,Amos 17,NR (12/20),Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,17,"35,777","35,793",1.90E-04,0,1436.04,"6,500",,,8/6/19,20,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
Amos 3,Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,-3.99,"35,783","35,789",7.12E-05,0.04,1436.1,,,,4/28/08,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB
Amos 4,Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,65,"35,633","35,796",1.94E-03,0.01,1432,,,,8/31/13,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB
Amsat-Oscar 7 (AO-7),Amsat-Oscar 7,USA,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,0,"1,440","1,459",1.21E-03,101.4,114.9,29,,,11/15/74,,Amsat-NA,USA,Vandenberg AFB,Delta 2310
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",ANASIS-II,NR (12/20),South Korea,Agency for Defense Development,Military,Communications,,GEO,,115.9,"35,781","35,792",1.30E-04,0.01,1436.1,,,,7/20/20,15,Airbus Defense and Space,France/UK/Germany/Spain,Cape Canaveral,Falcon 9
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),ANDESITE Mule,USA,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,LEO,Sun-Synchronous,0,582,600,1.29E-03,97.7,96.5,9,,,6/13/20,,Boston University,USA,Rocket Lab Launch Complex 1,Electron
ANGELS (Argos Neo on a Generic Economical and Light Satellite),ANGELS,France,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,LEO,Sun-Synchronous,0,509,524,1.09E-03,97.4,94.9,18,,,12/18/19,,CNES ,ESA,Guiana Space Center,Soyuz
Anik F1 ,Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710","2,950","15,500 (EOL)",11/21/00,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
Anik F1R,Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",,"10,000",9/9/05,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Anik F2 ,Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,"35,781","35,790",1.07E-04,0.01,1436.08,"5,910","3,805","16,000",7/18/04,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
Anik F3,Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,"35,778","35,794",1.90E-04,0.01,1436.1,"4,715",,"17,500",4/9/07,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Anik G1,Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,"35,773","35,799",3.08E-04,0.01,1436.08,"4,905",,"17,500",4/15/13,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
Aoba-VELOX 4,Aoba-VELOX 4,NR,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,LEO,Sun-Synchronous,0,481,513,2.33E-03,97.3,94.6,3,,,1/18/19,,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon
AprizeSat 1 (LatinSat-C),AprizeSat 1,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,696,764,4.79E-03,98,99.4,12,12,,6/29/04,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr
AprizeSat 10 (exactView-13),AprizeSat 10,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,733,8.52E-03,97.9,98,12,12,,6/19/14,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
AprizeSat 2 (LatinSat-D),AprizeSat 2,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0,694,850,1.09E-02,98.2,100.3,12,12,,6/29/04,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr
AprizeSat 3 ,AprizeSat 3,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,559,662,7.38E-03,98.18,97,12,12,,7/29/09,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
AprizeSat 4 ,AprizeSat 4,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,604,674,4.99E-03,98.1,97.5,12,12,,7/29/09,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
AprizeSat 5,AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,610,694,5.98E-03,98.2,97.8,12,12,,8/17/11,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
AprizeSat 7,AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,653,4.22E-03,97.8,97.17,12,12,,11/21/13,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
AprizeSat 8 (exactView-12),AprizeSat 8,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,669,5.36E-03,97.8,97.99,12,12,,11/21/13,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
AprizeSat 9 (exactView-11),AprizeSat 9,NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,715,7.25E-03,97.9,98,12,12,,6/19/14,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
